TAZ,Saudi Male,Saudi Female,Total_Saudi,Non-Saudi Male,Non-Saudi Female,Total_Non_Saudi,Total Pop
651,0,0,0,0,0,0,0
652,244,158,402,189,176,365,767
653,453,292,745,80,75,155,900
654,469,303,772,115,107,222,994
655,118,76,194,84,78,162,356
656,178,163,341,178,156,334,675
657,567,520,1087,177,155,332,1419
658,114,104,218,18,16,34,252
659,291,266,557,74,65,139,696
660,24690,22402,47092,1178,3219,4397,51489
661,0,0,0,0,0,0,0
662,0,0,0,0,0,0,0
663,0,0,0,0,0,0,0
664,554,508,1062,352,309,661,1723
665,0,0,0,0,0,0,0
666,648,594,1242,69,61,130,1372
667,159,146,305,16,14,30,335
668,465,427,892,155,137,292,1184
669,0,0,0,0,0,0,0
670,7,5,12,2,2,4,16
671,0,0,0,0,0,0,0
672,0,0,0,0,0,0,0
673,757,858,1615,0,44,44,1659
674,0,0,0,0,0,0,0
675,0,0,0,0,0,0,0
676,0,0,0,0,0,0,0
677,1026,798,1824,683,477,1160,2984
678,1560,1397,2957,745,468,1213,4170
679,0,0,0,0,0,0,0
680,0,0,0,0,0,0,0
681,0,0,0,0,0,0,0
682,784,610,1394,579,405,984,2378
683,3414,2882,6296,1473,654,2127,8423
684,0,0,0,0,0,0,0
685,4099,3993,8092,547,342,889,8981
686,0,0,0,27,22,49,49
687,6533,5792,12325,1508,786,2294,14619
688,1276,1244,2520,342,214,556,3076
689,0,0,0,0,0,0,0
690,0,0,0,3,0,3,3
691,518,403,921,321,225,546,1467
692,0,0,0,0,0,0,0
693,0,0,0,0,0,0,0
694,33,29,62,29,19,48,110
695,15,14,29,14,9,23,52
696,1400,1253,2653,1818,1142,2960,5613
697,0,0,0,0,0,0,0
698,0,0,0,0,0,0,0
699,0,0,0,0,0,0,0
700,69,69,138,29,25,54,192
701,1667,1332,2999,1107,902,2009,5008
702,0,0,0,0,0,0,0
703,876,682,1558,584,408,992,2550
704,941,733,1674,638,446,1084,2758
705,1073,835,1908,573,401,974,2882
706,1064,829,1893,636,444,1080,2973
707,724,563,1287,460,321,781,2068
708,1219,949,2168,1007,703,1710,3878
709,1333,1038,2371,1014,708,1722,4093
710,1130,880,2010,929,650,1579,3589
711,6,4,10,1,0,1,11
712,1774,1430,3204,1483,1443,2926,6130
713,844,680,1524,620,604,1224,2748
714,1403,1132,2535,799,778,1577,4112
715,1040,838,1878,769,749,1518,3396
716,1251,1008,2259,566,550,1116,3375
717,983,792,1775,451,440,891,2666
718,1217,982,2199,472,459,931,3130
719,1028,828,1856,542,527,1069,2925
720,3412,3102,6514,763,1525,2288,8802
721,2722,2475,5197,839,1679,2518,7715
722,1613,1467,3080,405,811,1216,4296
